order_id,customer_id,product_id,quantity,unit_price,order_date,status
O00060,C0274,P01,1,129.99,2025-08-02,completed
O00061,C0019,P07,2,149.0,2025-06-11,cancelled
O00062,C0149,P01,1,129.99,2025-09-01,refunded
O00063,C0309,P02,2,34.5,2025-08-15,completed
O00064,C0329,P08,1,39.99,2025-09-16,completed
O00065,C0140,P04,1,59.99,2025-08-24,completed
O00066,C0375,P08,3,39.99,2025-08-13,cancelled
O00067,C0096,P01,3,129.99,2025-06-22,completed
O00068,C0291,P04,1,59.99,2025-11-09,cancelled
O00069,C0208,P07,3,149.0,2025-06-17,completed
O00070,C0206,P02,1,34.5,2025-03-13,completed
O00071,C0166,P04,1,59.99,2025-06-02,completed
O00072,C0121,P08,2,39.99,2025-06-18,completed
O00073,C0299,P01,2,129.99,2025-12-01,completed
O00074,C0355,P04,1,59.99,2025-12-08,completed
O00075,C0239,P05,1,45.0,2025-07-27,cancelled
O00076,C0258,P05,3,45.0,2025-08-18,cancelled
O00077,C0152,P06,3,89.95,2025-10-09,completed
O00078,C0069,P08,1,39.99,2025-09-28,cancelled
O00079,C0311,P06,2,89.95,2025-10-09,completed
O00080,C0388,P04,1,59.99,2025-12-15,refunded
O00081,C0042,P08,3,39.99,2025-07-05,completed
O00082,C0289,P02,1,34.5,2025-10-08,refunded
O00083,C0104,P03,1,79.0,2025-06-17,refunded
O00084,C0227,P02,3,34.5,2025-09-12,cancelled
O00085,C0299,P08,1,39.99,2025-09-19,completed
O00086,C0029,P08,1,39.99,2025-09-20,completed
O00087,C0234,P01,3,129.99,2025-08-25,cancelled
O00088,C0158,P01,2,129.99,2025-05-11,completed
O00089,C0382,P04,3,59.99,2025-05-27,completed
O00090,C0217,P06,3,89.95,2025-03-31,refunded
O00091,C0031,P02,2,34.5,2025-03-24,completed
O00092,C0210,P03,1,79.0,2025-11-25,cancelled
O00093,C0331,P07,2,149.0,2025-08-13,completed
O00094,C0194,P07,1,149.0,2025-12-16,cancelled
O00095,C0277,P03,3,79.0,2025-07-08,completed
O00096,C0092,P07,3,149.0,2025-03-07,cancelled
O00097,C0115,P01,1,129.99,2025-06-02,completed
O00098,C0345,P07,3,149.0,2025-07-14,completed
O00099,C0127,P08,2,39.99,2025-07-14,completed
O00100,C0097,P02,1,34.5,2025-12-05,completed
O00101,C0315,P01,1,129.99,2025-04-16,completed
O00102,C0052,P01,2,129.99,2025-11-03,cancelled
O00103,C0361,P01,1,129.99,2025-05-31,completed
O00104,C0225,P04,3,59.99,2025-06-01,completed
O00105,C0072,P05,1,45.0,2025-10-22,completed
O00106,C0296,P06,1,89.95,2025-06-04,completed
O00107,C0339,P04,2,59.99,2025-06-03,completed
O00108,C0032,P03,3,79.0,2025-12-14,completed
O00109,C0285,P08,1,39.99,2025-06-26,cancelled
O00110,C0344,P07,3,149.0,2025-06-13,cancelled
O00111,C0214,P07,1,149.0,2025-06-03,completed
O00112,C0095,P08,1,39.99,2025-06-08,completed
O00113,C0363,P03,2,79.0,2025-08-31,refunded
O00114,C0212,P07,3,149.0,2025-09-29,completed
O00115,C0199,P04,2,59.99,2025-06-24,completed
O00116,C0332,P02,2,34.5,2025-07-09,completed
O00117,C0275,P04,1,59.99,2025-05-18,completed
O00118,C0345,P01,1,129.99,2025-04-07,refunded
O00119,C0371,P04,2,59.99,2025-08-16,completed
O00120,C0156,P01,1,129.99,2025-04-10,cancelled
O00121,C0061,P08,1,39.99,2025-11-06,cancelled
O00122,C0105,P07,1,149.0,2025-10-10,completed
O00123,C0398,P05,2,45.0,2025-08-27,refunded
O00124,C0333,P06,2,89.95,2025-08-18,completed
O00125,C0263,P08,2,39.99,2025-03-17,cancelled
O00126,C0241,P06,1,89.95,2025-07-09,completed
O00127,C0212,P01,3,129.99,2025-05-28,cancelled
O00128,C0075,P01,2,129.99,2025-10-11,refunded
O00129,C0297,P07,2,149.0,2025-07-27,completed
O00130,C0169,P04,2,59.99,2025-10-19,completed
O00131,C0256,P06,2,89.95,2025-09-08,cancelled
O00132,C0329,P08,2,39.99,2025-06-22,cancelled
O00133,C0181,P03,1,79.0,2025-10-07,completed
O00134,C0095,P01,3,129.99,2025-06-08,completed
O00135,C0343,P01,1,129.99,2025-07-31,completed
O00136,C0323,P04,1,59.99,2025-10-14,completed
O00137,C0112,P08,2,39.99,2025-05-22,refunded
O00138,C0327,P08,3,39.99,2025-09-07,completed
O00139,C0004,P07,1,149.0,2025-01-14,refunded
O00140,C0370,P05,3,45.0,2025-06-01,completed
O00141,C0258,P07,1,149.0,2025-08-18,completed
O00142,C0269,P03,1,79.0,2025-08-07,refunded
O00143,C0270,P05,2,45.0,2025-05-17,completed
O00144,C0041,P06,2,89.95,2025-08-24,refunded
O00145,C0125,P04,2,59.99,2025-08-25,cancelled
O00146,C0333,P01,1,129.99,2025-08-18,completed
O00147,C0194,P08,1,39.99,2025-11-23,completed
O00148,C0360,P03,1,79.0,2025-09-13,completed
O00149,C0331,P06,3,89.95,2025-08-13,refunded
O00150,C0022,P04,1,59.99,2025-10-18,completed
O00151,C0139,P01,1,129.99,2025-08-04,refunded
O00152,C0289,P01,1,129.99,2025-09-07,completed
O00153,C0107,P03,3,79.0,2025-08-06,completed
O00154,C0154,P03,3,79.0,2025-05-04,refunded
O00155,C0200,P06,2,89.95,2025-06-02,cancelled
O00156,C0371,P02,3,34.5,2025-08-16,completed
O00157,C0051,P07,1,149.0,2025-10-09,completed
O00158,C0310,P07,2,149.0,2025-09-17,cancelled
O00159,C0140,P08,2,39.99,2025-08-24,completed
O00160,C0284,P07,2,149.0,2025-06-09,cancelled
O00161,C0300,P07,1,149.0,2025-11-13,completed
O00162,C0127,P02,1,34.5,2025-07-14,completed
O00163,C0195,P03,3,79.0,2025-07-19,completed
O00164,C0185,P02,1,34.5,2025-06-18,completed
O00165,C0228,P06,2,89.95,2025-04-08,completed
O00166,C0045,P03,2,79.0,2025-08-18,refunded
O00167,C0285,P07,1,149.0,2025-03-21,completed
O00168,C0182,P02,3,34.5,2025-11-03,completed
O00169,C0198,P01,2,129.99,2025-09-18,completed
O00170,C0399,P02,3,34.5,2025-10-14,completed
O00171,C0293,P03,3,79.0,2025-08-09,completed
O00172,C0072,P05,2,45.0,2025-05-18,completed
O00173,C0075,P02,1,34.5,2025-08-11,completed
O00174,C0216,P05,2,45.0,2025-05-06,completed
O00175,C0129,P04,3,59.99,2025-11-17,completed
O00176,C0305,P04,2,59.99,2025-04-12,completed
O00177,C0156,P01,2,129.99,2025-06-20,refunded
O00178,C0195,P06,2,89.95,2025-06-21,completed
O00179,C0334,P03,2,79.0,2025-08-29,refunded
O00180,C0356,P04,2,59.99,2025-06-10,completed
O00181,C0204,P06,2,89.95,2025-11-21,completed
O00182,C0295,P04,2,59.99,2025-07-23,completed
O00183,C0202,P06,1,89.95,2025-10-16,completed
O00184,C0304,P03,3,79.0,2025-10-09,completed
O00185,C0373,P08,3,39.99,2025-04-18,completed
O00186,C0150,P02,2,34.5,2025-12-11,completed
O00187,C0072,P05,1,45.0,2025-05-10,cancelled
O00188,C0079,P07,2,149.0,2025-06-07,completed
O00189,C0307,P08,3,39.99,2025-10-16,refunded
O00190,C0260,P07,3,149.0,2025-09-24,completed
O00191,C0360,P02,1,34.5,2025-05-08,cancelled
O00192,C0341,P06,1,89.95,2025-11-28,refunded
O00193,C0023,P07,2,149.0,2025-09-10,completed
O00194,C0006,P02,2,34.5,2025-08-05,refunded
O00195,C0383,P04,2,59.99,2025-07-11,completed
O00196,C0238,P03,2,79.0,2025-05-15,completed
O00197,C0054,P05,2,45.0,2025-02-13,completed
O00198,C0374,P03,2,79.0,2025-09-20,completed
O00199,C0234,P04,3,59.99,2025-09-05,completed
O00200,C0244,P02,2,34.5,2025-08-20,completed
O00201,C0035,P05,1,45.0,2025-09-30,completed
O00202,C0176,P02,3,34.5,2025-03-26,cancelled
O00203,C0125,P03,3,79.0,2025-08-25,completed
O00204,C0287,P07,2,149.0,2025-08-15,completed
O00205,C0323,P03,1,79.0,2025-11-24,cancelled
O00206,C0222,P07,1,149.0,2025-11-11,completed
O00207,C0231,P07,2,149.0,2025-06-01,cancelled
O00208,C0110,P04,2,59.99,2025-09-16,refunded
O00209,C0053,P03,2,79.0,2025-06-16,completed
O00210,C0235,P02,2,34.5,2025-12-10,completed
O00211,C0271,P06,3,89.95,2025-07-18,refunded
O00212,C0201,P02,2,34.5,2025-08-17,completed
O00213,C0317,P03,3,79.0,2025-06-02,refunded
O00214,C0303,P02,3,34.5,2025-09-19,completed
O00215,C0061,P04,2,59.99,2025-05-07,completed
O00216,C0192,P03,3,79.0,2025-09-06,completed
O00217,C0306,P03,3,79.0,2025-07-16,completed
O00218,C0096,P08,3,39.99,2025-10-03,cancelled
O00219,C0331,P03,3,79.0,2025-08-13,completed
O00220,C0148,P03,1,79.0,2025-06-11,completed
O00221,C0318,P01,2,129.99,2025-07-10,completed
O00222,C0070,P04,2,59.99,2025-10-15,refunded
O00223,C0335,P08,2,39.99,2025-09-09,completed
O00224,C0364,P08,2,39.99,2025-07-02,completed
O00225,C0290,P01,1,129.99,2025-05-30,completed
O00226,C0141,P04,3,59.99,2025-09-25,completed
O00227,C0400,P08,3,39.99,2025-09-11,refunded
O00228,C0262,P02,3,34.5,2025-08-16,completed
O00229,C0397,P06,3,89.95,2025-05-09,cancelled
O00230,C0226,P04,2,59.99,2025-02-22,cancelled
O00231,C0335,P04,2,59.99,2025-05-25,completed
O00232,C0135,P06,1,89.95,2025-10-22,completed
O00233,C0398,P04,1,59.99,2025-10-29,cancelled
O00234,C0180,P07,1,149.0,2025-11-12,completed
O00235,C0106,P04,1,59.99,2025-10-19,completed
O00236,C0273,P05,3,45.0,2025-10-03,completed
O00237,C0166,P05,2,45.0,2025-10-21,completed
O00238,C0264,P02,1,34.5,2025-10-27,completed
O00239,C0142,P03,3,79.0,2025-08-12,completed
O00240,C0075,P06,1,89.95,2025-12-13,completed
O00241,C0251,P03,3,79.0,2025-11-20,completed
O00242,C0322,P07,2,149.0,2025-08-20,completed
O00243,C0325,P02,2,34.5,2025-09-21,cancelled
O00244,C0143,P06,2,89.95,2025-09-07,completed
O00245,C0298,P01,3,129.99,2025-02-17,cancelled
O00246,C0235,P06,1,89.95,2025-10-01,completed
O00247,C0112,P07,1,149.0,2025-09-11,completed
O00248,C0166,P05,2,45.0,2025-10-08,refunded
O00249,C0067,P08,2,39.99,2025-12-16,completed
O00250,C0024,P02,3,34.5,2025-08-24,completed
O00251,C0064,P03,2,79.0,2025-08-22,completed
O00252,C0220,P04,3,59.99,2025-03-09,cancelled
O00253,C0155,P03,2,79.0,2025-04-21,cancelled
O00254,C0185,P05,1,45.0,2025-07-10,cancelled
O00255,C0333,P03,1,79.0,2025-08-18,cancelled
O00256,C0157,P04,2,59.99,2025-12-02,completed
O00257,C0361,P02,1,34.5,2025-05-31,completed
O00258,C0040,P03,3,79.0,2025-10-11,refunded
O00259,C0349,P08,1,39.99,2025-08-23,cancelled
O00260,C0176,P02,2,34.5,2025-03-09,completed
O00261,C0037,P04,2,59.99,2025-10-04,cancelled
O00262,C0053,P02,2,34.5,2025-07-08,completed
O00263,C0071,P07,1,149.0,2025-11-25,cancelled
O00264,C0074,P02,3,34.5,2025-10-16,completed
O00265,C0313,P03,2,79.0,2025-10-25,cancelled
O00266,C0110,P03,2,79.0,2025-11-12,cancelled
O00267,C0227,P04,1,59.99,2025-09-12,completed
O00268,C0386,P02,3,34.5,2025-07-16,completed
O00269,C0220,P06,1,89.95,2025-05-07,completed
O00270,C0331,P02,1,34.5,2025-10-11,refunded
O00271,C0308,P05,3,45.0,2025-06-11,cancelled
O00272,C0155,P04,3,59.99,2025-11-07,refunded
O00273,C0097,P07,2,149.0,2025-11-27,completed
O00274,C0123,P08,2,39.99,2025-03-26,completed
O00275,C0256,P02,3,34.5,2025-03-31,completed
O00276,C0163,P03,2,79.0,2025-10-19,completed
O00277,C0188,P03,2,79.0,2025-09-21,completed
O00278,C0301,P02,1,34.5,2025-06-08,completed
O00279,C0021,P01,2,129.99,2025-10-15,completed
O00280,C0322,P07,2,149.0,2025-07-25,completed
O00281,C0328,P03,2,79.0,2025-09-17,completed
O00282,C0041,P04,1,59.99,2025-10-02,completed
O00283,C0201,P02,2,34.5,2025-08-17,cancelled
O00284,C0123,P01,1,129.99,2025-03-26,completed
O00285,C0060,P08,3,39.99,2025-11-08,completed
O00286,C0159,P03,1,79.0,2025-03-06,cancelled
O00287,C0071,P01,1,129.99,2025-10-11,completed
O00288,C0268,P05,1,45.0,2025-07-24,completed
O00289,C0384,P05,3,45.0,2025-06-13,completed
O00290,C0172,P07,2,149.0,2025-09-26,completed
O00291,C0135,P02,2,34.5,2025-10-22,refunded
O00292,C0185,P01,2,129.99,2025-10-18,completed
O00293,C0189,P03,2,79.0,2025-02-22,refunded
O00294,C0346,P02,1,34.5,2025-09-18,completed
O00295,C0023,P01,1,129.99,2025-09-10,completed
O00296,C0187,P07,1,149.0,2025-06-11,completed
O00297,C0284,P07,1,149.0,2025-06-14,completed
O00298,C0214,P06,2,89.95,2025-06-03,refunded
O00299,C0191,P02,3,34.5,2025-12-11,completed
O00300,C0092,P04,3,59.99,2025-01-24,completed
O00301,C0036,P08,2,39.99,2025-06-09,completed
O00302,C0045,P08,1,39.99,2025-07-28,completed
O00303,C0150,P05,3,45.0,2025-11-15,completed
O00304,C0238,P06,3,89.95,2025-09-10,completed
O00305,C0376,P04,1,59.99,2025-07-07,completed
O00306,C0013,P04,3,59.99,2025-08-21,cancelled
O00307,C0356,P01,2,129.99,2025-05-10,cancelled
O00308,C0193,P05,1,45.0,2025-04-16,refunded
O00309,C0122,P07,2,149.0,2025-07-19,completed
O00310,C0365,P05,1,45.0,2025-03-05,completed
O00311,C0267,P07,3,149.0,2025-08-20,completed
O00312,C0383,P02,3,34.5,2025-02-18,refunded
O00313,C0069,P07,1,149.0,2025-10-31,refunded
O00314,C0032,P07,3,149.0,2025-06-15,completed
O00315,C0150,P05,2,45.0,2025-07-21,cancelled
O00316,C0377,P06,2,89.95,2025-08-20,completed
O00317,C0120,P02,1,34.5,2025-07-19,refunded
O00318,C0056,P03,1,79.0,2025-04-08,completed
O00319,C0239,P06,2,89.95,2025-04-30,refunded
O00320,C0184,P04,2,59.99,2025-07-29,completed
O00321,C0136,P02,1,34.5,2025-05-05,cancelled
O00322,C0156,P01,1,129.99,2025-06-17,completed
O00323,C0047,P04,2,59.99,2025-07-22,refunded
O00324,C0026,P05,2,45.0,2025-03-31,completed
O00325,C0208,P08,3,39.99,2025-10-09,completed
O00326,C0049,P08,1,39.99,2025-10-02,completed
O00327,C0007,P01,1,129.99,2025-06-22,completed
O00328,C0206,P06,3,89.95,2025-11-19,cancelled
O00329,C0044,P05,1,45.0,2025-10-20,completed
O00330,C0102,P08,1,39.99,2025-09-21,completed
O00331,C0063,P01,2,129.99,2025-04-15,completed
O00332,C0294,P07,3,149.0,2025-07-22,completed
O00333,C0016,P07,3,149.0,2025-08-25,completed
O00334,C0182,P04,1,59.99,2025-09-23,completed
O00335,C0229,P03,1,79.0,2025-11-11,refunded
O00336,C0316,P04,3,59.99,2025-06-01,completed
O00337,C0211,P08,1,39.99,2025-09-07,completed
O00338,C0197,P03,2,79.0,2025-08-22,cancelled
O00339,C0270,P04,3,59.99,2025-10-06,completed
O00340,C0196,P06,2,89.95,2025-10-06,completed
O00341,C0177,P06,2,89.95,2025-07-26,completed
O00342,C0014,P06,3,89.95,2025-04-23,completed
O00343,C0399,P05,1,45.0,2025-08-30,refunded
O00344,C0184,P04,1,59.99,2025-07-29,completed
O00345,C0337,P04,2,59.99,2025-10-01,cancelled
O00346,C0029,P04,3,59.99,2025-07-18,completed
O00347,C0089,P03,1,79.0,2025-10-31,completed
O00348,C0378,P06,3,89.95,2025-02-09,cancelled
O00349,C0359,P06,3,89.95,2025-10-16,completed
O00350,C0289,P04,2,59.99,2025-10-05,completed
O00351,C0090,P08,1,39.99,2025-08-11,completed
O00352,C0120,P04,1,59.99,2025-09-27,completed
O00353,C0001,P06,3,89.95,2025-05-21,completed
O00354,C0175,P03,2,79.0,2025-03-26,completed
O00355,C0076,P03,1,79.0,2025-09-27,completed
O00356,C0038,P06,3,89.95,2025-12-06,completed
O00357,C0301,P02,2,34.5,2025-06-08,completed
O00358,C0070,P03,3,79.0,2025-08-12,cancelled
O00359,C0250,P06,1,89.95,2025-10-15,cancelled
O00360,C0315,P06,1,89.95,2025-12-07,refunded
O00361,C0090,P07,2,149.0,2025-08-11,completed
O00362,C0091,P01,3,129.99,2025-10-21,completed
O00363,C0395,P01,1,129.99,2025-11-05,completed
O00364,C0314,P04,3,59.99,2025-10-20,completed
O00365,C0255,P03,2,79.0,2025-02-09,completed
O00366,C0178,P06,1,89.95,2025-11-22,completed
O00367,C0363,P06,2,89.95,2025-08-31,completed
O00368,C0108,P04,3,59.99,2025-10-13,completed
O00369,C0132,P02,3,34.5,2025-04-22,completed
O00370,C0198,P08,3,39.99,2025-09-18,completed
O00371,C0212,P08,2,39.99,2025-06-29,refunded
O00372,C0193,P02,2,34.5,2025-10-23,cancelled
O00373,C0389,P04,1,59.99,2025-10-10,completed
O00374,C0018,P05,1,45.0,2025-07-25,completed
O00375,C0054,P02,2,34.5,2025-03-29,completed
O00376,C0083,P02,3,34.5,2025-05-08,completed
O00377,C0305,P08,3,39.99,2025-04-12,completed
O00378,C0335,P03,3,79.0,2025-08-11,completed
O00379,C0028,P02,2,34.5,2025-08-21,completed
O00380,C0210,P05,3,45.0,2025-05-25,completed
O00381,C0122,P02,1,34.5,2025-07-21,refunded
O00382,C0282,P08,1,39.99,2025-03-14,completed
O00383,C0002,P07,1,149.0,2025-05-31,cancelled
O00384,C0321,P08,1,39.99,2025-03-18,completed
O00385,C0106,P03,3,79.0,2025-07-24,completed
O00386,C0243,P02,2,34.5,2025-07-23,completed
O00387,C0251,P05,1,45.0,2025-11-25,refunded
O00388,C0199,P03,2,79.0,2025-07-15,completed
O00389,C0096,P08,1,39.99,2025-06-01,completed
O00390,C0239,P05,1,45.0,2025-05-18,refunded
O00391,C0032,P03,3,79.0,2025-12-08,completed
O00392,C0044,P06,3,89.95,2025-10-20,refunded
O00393,C0117,P01,2,129.99,2025-10-05,completed
O00394,C0275,P08,3,39.99,2025-05-01,completed
O00395,C0154,P02,2,34.5,2025-04-09,refunded
O00396,C0293,P03,1,79.0,2025-08-18,completed
O00397,C0086,P04,1,59.99,2025-04-09,completed
O00398,C0217,P02,3,34.5,2025-08-11,completed
O00399,C0322,P03,3,79.0,2025-06-08,completed
O00400,C0373,P02,1,34.5,2025-07-18,refunded
O00401,C0204,P06,2,89.95,2025-09-24,completed
O00402,C0007,P07,1,149.0,2025-08-01,completed
O00403,C0076,P02,1,34.5,2025-10-16,completed
O00404,C0147,P06,2,89.95,2025-05-22,completed
O00405,C0336,P08,3,39.99,2025-11-08,completed
O00406,C0020,P03,2,79.0,2025-08-23,completed
O00407,C0317,P07,1,149.0,2025-07-22,completed
O00408,C0354,P04,1,59.99,2025-10-06,completed
O00409,C0191,P01,2,129.99,2025-10-09,completed
O00410,C0144,P08,3,39.99,2025-10-19,completed
O00411,C0069,P05,3,45.0,2025-09-28,completed
O00412,C0138,P07,3,149.0,2025-11-27,completed
O00413,C0097,P08,1,39.99,2025-07-28,cancelled
O00414,C0249,P06,1,89.95,2025-09-21,completed
O00415,C0034,P05,3,45.0,2025-09-17,completed
O00416,C0070,P01,1,129.99,2025-04-09,completed
O00417,C0030,P04,1,59.99,2025-09-17,completed
O00418,C0185,P04,2,59.99,2025-07-08,completed
O00419,C0259,P07,3,149.0,2025-09-15,cancelled
O00420,C0016,P04,2,59.99,2025-09-08,refunded
O00421,C0229,P03,2,79.0,2025-10-28,refunded
O00422,C0180,P06,1,89.95,2025-05-13,cancelled
O00423,C0353,P02,2,34.5,2025-02-13,completed
O00424,C0026,P03,3,79.0,2025-04-20,completed
O00425,C0332,P04,3,59.99,2025-05-02,completed
O00426,C0334,P07,3,149.0,2025-08-29,cancelled
O00427,C0005,P08,1,39.99,2025-11-28,completed
O00428,C0308,P01,1,129.99,2025-06-11,refunded
O00429,C0157,P05,2,45.0,2025-07-12,completed
O00430,C0236,P05,1,45.0,2025-08-27,completed
O00431,C0347,P07,3,149.0,2025-09-28,completed
O00432,C0262,P06,3,89.95,2025-11-28,refunded
O00433,C0312,P05,2,45.0,2025-02-25,completed
O00434,C0033,P06,2,89.95,2025-11-24,completed
O00435,C0142,P05,3,45.0,2025-11-30,completed
O00436,C0097,P03,3,79.0,2025-07-14,completed
O00437,C0308,P07,3,149.0,2025-06-13,cancelled
O00438,C0072,P01,3,129.99,2025-09-12,completed
O00439,C0133,P07,2,149.0,2025-07-18,cancelled
O00440,C0019,P04,2,59.99,2025-06-11,cancelled
O00441,C0274,P08,3,39.99,2025-07-03,refunded
O00442,C0154,P03,3,79.0,2025-10-13,completed
O00443,C0151,P02,2,34.5,2025-10-25,cancelled
O00444,C0133,P03,3,79.0,2025-06-21,cancelled
O00445,C0046,P04,2,59.99,2025-08-09,cancelled
O00446,C0158,P07,2,149.0,2025-07-10,completed
O00447,C0300,P05,2,45.0,2025-08-12,completed
O00448,C0028,P02,2,34.5,2025-08-21,refunded
O00449,C0062,P07,3,149.0,2025-06-02,completed
O00450,C0028,P03,1,79.0,2025-08-21,completed
O00451,C0210,P08,1,39.99,2025-06-11,cancelled
O00452,C0093,P02,2,34.5,2025-08-09,cancelled
O00453,C0091,P06,3,89.95,2025-09-19,completed
O00454,C0232,P05,1,45.0,2025-04-13,refunded
O00455,C0392,P03,2,79.0,2025-06-12,completed
O00456,C0315,P07,3,149.0,2025-08-08,completed
O00457,C0220,P08,2,39.99,2025-01-05,completed
O00458,C0274,P04,3,59.99,2025-07-11,completed
O00459,C0165,P04,1,59.99,2025-12-13,completed
O00460,C0321,P04,1,59.99,2025-06-26,completed
O00461,C0067,P02,2,34.5,2025-09-15,refunded
O00462,C0157,P03,1,79.0,2025-06-04,completed
O00463,C0149,P08,3,39.99,2025-09-24,refunded
O00464,C0269,P06,2,89.95,2025-08-07,completed
O00465,C0251,P06,1,89.95,2025-10-17,completed
O00466,C0010,P04,1,59.99,2025-10-10,completed
O00467,C0376,P01,3,129.99,2025-09-16,completed
O00468,C0064,P06,3,89.95,2025-11-30,completed
O00469,C0193,P05,3,45.0,2025-11-16,completed
O00470,C0305,P01,3,129.99,2025-04-12,cancelled
O00471,C0011,P01,3,129.99,2025-04-09,completed
O00472,C0228,P07,1,149.0,2025-10-08,completed
O00473,C0243,P03,1,79.0,2025-11-19,completed
O00474,C0155,P07,3,149.0,2025-04-21,cancelled
O00475,C0267,P05,3,45.0,2025-11-07,cancelled
O00476,C0071,P07,1,149.0,2025-10-11,cancelled
O00477,C0317,P02,2,34.5,2025-05-07,completed
O00478,C0255,P04,3,59.99,2025-04-13,completed
O00479,C0268,P04,2,59.99,2025-07-29,completed
O00480,C0083,P01,3,129.99,2025-09-12,completed
O00481,C0353,P08,2,39.99,2025-05-01,completed
O00482,C0007,P02,1,34.5,2025-10-21,cancelled
O00483,C0253,P03,1,79.0,2025-09-19,completed
O00484,C0371,P02,2,34.5,2025-11-26,completed
O00485,C0234,P05,2,45.0,2025-08-26,completed
O00486,C0052,P03,1,79.0,2025-05-29,completed
O00487,C0347,P06,2,89.95,2025-09-28,completed
O00488,C0389,P01,1,129.99,2025-10-10,cancelled
O00489,C0332,P03,2,79.0,2025-07-03,completed
O00490,C0319,P05,3,45.0,2025-02-17,completed
O00491,C0176,P03,1,79.0,2025-07-25,completed
O00492,C0234,P05,2,45.0,2025-09-02,completed
O00493,C0333,P03,1,79.0,2025-08-18,cancelled
O00494,C0372,P01,1,129.99,2025-06-30,completed
O00495,C0303,P08,3,39.99,2025-12-14,completed
O00496,C0093,P07,2,149.0,2025-11-10,completed
O00497,C0351,P03,2,79.0,2025-09-07,completed
O00498,C0211,P08,1,39.99,2025-09-07,completed
O00499,C0336,P06,1,89.95,2025-12-14,refunded
O00500,C0393,P04,3,59.99,2025-09-22,refunded
O00501,C0268,P02,2,34.5,2025-12-05,cancelled
O00502,C0128,P08,2,39.99,2025-12-06,cancelled
O00503,C0329,P07,1,149.0,2025-10-13,refunded
O00504,C0028,P01,3,129.99,2025-08-21,refunded
O00505,C0241,P08,1,39.99,2025-06-04,completed
O00506,C0165,P04,2,59.99,2025-05-23,completed
